abbreviation|time_zone_name|utc_offset
AST|ATLANTIC STANDARD TIME|- 4
EST|EASTERN STANDARD TIME|- 5
EDT|EASTERN DAYLIGHT TIME|- 4
CST|CENTRAL STANDARD TIME|- 6
CDT|CENTRAL DAYLIGHT TIME|- 5
MST|MOUNTAIN STANDARD TIME|- 7
MDT|MOUNTAIN DAYLIGHT TIME|- 6
PST|PACIFIC STANDARD TIME|- 8
PDT|PACIFIC DAYLIGHT TIME|- 7
AKST|ALASKA TIME|- 9
AKDT|ALASKA DAYLIGHT TIME|- 8
HST|HAWAII STANDARD TIME|- 10
HAST|HAWAII-ALEUTIAN STANDARD TIME|- 10
HADT|HAWAII-ALEUTIAN DAYLIGHT TIME|- 9
SST|SAMOA STANDARD TIME|- 11
SDT|SAMOA DAYLIGHT TIME|- 10
CHST|CHAMORRO STANDARD TIME|+ 10
