 year | state |              station_name               | jan_cnt | feb_cnt | mar_cnt | apr_cnt | may_cnt | jun_cnt | jul_cnt | aug_cnt | sep_cnt | oct_cnt | nov_cnt | dec_cnt | ttl_year 
------+-------+-----------------------------------------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+---------+----------
 2020 | CO    | CITY OF COLORADO SPRINGS MUNICIPAL AP   |      12 |       8 |       5 |       3 |       2 |       1 |       0 |       0 |       1 |       7 |      10 |      11 |       60
 2020 | ME    | PORTLAND INTERNATIONAL JETPORT AP       |       6 |      11 |       7 |       4 |       2 |       0 |       0 |       2 |       3 |       3 |       6 |       7 |       51
 2020 | NH    | MANCHESTER AIRPORT                      |       7 |      12 |       8 |       3 |       1 |       0 |       0 |       1 |       3 |       1 |       6 |       9 |       51
 2020 | MA    | GEN E L LOGAN INTERNATIONAL AIRPORT     |       8 |      10 |       9 |       4 |       1 |       0 |       0 |       1 |       3 |       1 |       6 |       6 |       49
 2020 | ND    | HECTOR INTERNATIONAL AIRPORT            |       7 |       7 |       5 |       1 |       0 |       2 |       1 |       1 |       3 |       8 |       4 |       6 |       45
 2020 | CO    | DENVER INTERNATIONAL AIRPORT            |      11 |       6 |       4 |       0 |       3 |       1 |       0 |       0 |       1 |       7 |       7 |       4 |       44
 2020 | VT    | BURLINGTON INTERNATIONAL AIRPORT        |       6 |       8 |       6 |       4 |       1 |       0 |       0 |       2 |       3 |       1 |       8 |       4 |       43
 2020 | RI    | THEODORE F GREEN STATE AIRPORT          |       6 |       9 |       5 |       4 |       1 |       0 |       0 |       1 |       3 |       1 |       6 |       6 |       42
 2020 | AK    | TED STEVENS ANCHORAGE INTL              |       2 |       7 |       6 |       0 |       0 |       0 |       0 |       2 |       4 |       5 |      10 |       5 |       41
 2020 | WY    | NATRONA COUNTY INTERNATIONAL AP         |       7 |       4 |       4 |       1 |       3 |       0 |       0 |       0 |       0 |       9 |       9 |       4 |       41
 2020 | CT    | BRADLEY INTERNATIONAL AIRPORT           |       7 |       8 |       6 |       3 |       1 |       0 |       0 |       1 |       3 |       0 |       6 |       5 |       40
 2020 | NY    | ALBANY INTERNATIONAL AIRPORT            |       6 |       8 |       6 |       2 |       1 |       0 |       0 |       1 |       3 |       1 |       6 |       5 |       39
 2020 | AK    | JUNEAU INTERNATIONAL                    |       6 |       8 |       3 |       3 |       0 |       0 |       0 |       2 |       2 |       3 |       9 |       2 |       38
 2020 | NJ    | ATLANTIC CITY INTERNATIONAL AIRPORT     |       4 |       7 |       4 |       5 |       0 |       0 |       0 |       1 |       1 |       1 |       6 |       7 |       36
 2020 | NJ    | NEWARK LIBERTY INTERNATIONAL AP         |       5 |       6 |       4 |       4 |       0 |       0 |       0 |       1 |       3 |       1 |       6 |       5 |       35
 2020 | AK    | FAIRBANKS INTERNATIONAL                 |       2 |       7 |       6 |       0 |       0 |       0 |       0 |       1 |       4 |       4 |       7 |       3 |       34
 2020 | NJ    | TRENTON MERCER AIRPORT                  |       4 |       5 |       4 |       4 |       0 |       0 |       0 |       1 |       2 |       1 |       6 |       7 |       34
 2020 | NY    | JOHN F KENNEDY INTERNATIONAL AIRPORT    |       4 |       6 |       2 |       5 |       0 |       0 |       0 |       1 |       2 |       1 |       6 |       6 |       33
